rank,player_en,team_ar,appearances,player_id_count,player_ids,safe_to_write
166,M. Benyettou,الوكرة,91,1,50678,yes
167,Omar Ali,الوكرة,91,1,134827,yes
168,Sultan Al Shamsi,العين,91,1,50338,yes
169,S. Ivković,بني ياس,91,1,98479,yes
170,Emad Hamdy,الإسماعيلي,90,1,16986,yes
171,T. Ojo,الجونة,90,1,358047,yes
172,Zeyad Tarek,الداخلية,90,1,296658,yes
173,Ahmed Sabeha,الشرقية إنبي,90,1,135362,yes
174,Mostafa Adel,الشرقية إنبي,90,1,17226,yes
175,D. Dokou,سموحة,90,1,394602,yes
176,El-Hani Soliman,سموحة,90,1,16996,yes
177,John Okoye Ebuka,سيراميكا كليوباترا,90,1,295133,yes
178,Sodiq Awujoola,سيراميكا كليوباترا,90,2,342755;343171,NO - COLLISION
179,Y. Jabrane,أولمبيك الدشيرة,90,2,36544;568695,NO - COLLISION
180,A. Hasti,الشباب السالمي,90,1,152500,yes
181,M. Bahsain,الفتح,90,1,281030,yes
182,S. Khorsa,المغرب الفاسي,90,1,36684,yes
183,A. Boukhanfer,حسنية أكادير,90,1,364737,yes
184,Y. Dalouzi,شباب المحمدية,90,2,424540;535218,NO - COLLISION
185,Salmin Atiq,الشمال,90,1,42069,yes
186,S. Moghanlou,اتحاد كلباء,90,1,89982,yes
187,H. Seferović,الوصل,90,1,582,yes
188,Emad Hamdi,الإسماعيلي,89,1,16986,yes
189,Abdelaziz El Sayed,الداخلية,89,1,17302,yes
190,Mostafa Gamal,حرس الحدود,89,2,17273;550380,NO - COLLISION
191,F. Karmoune,أولمبيك آسفي,89,1,436170,yes
192,M. Essahel,اتحاد تواركة,89,1,303488,yes
193,H. El Moudene,اتحاد طنجة,89,1,354557,yes
194,Rúben Semedo,الدحيل,89,1,41173,yes
195,Mohamed Surag,الريان,89,1,334053,yes
196,Ahmed Alaa,الغرافة,89,1,2542,yes
197,Nabil Irfan,الوكرة,89,1,339794,yes
198,Salem Saleh,الشارقة,89,1,50496,yes
199,J. Flemmings,عجمان,89,1,71147,yes
200,A. El Said,الزمالك,88,3,16838;383614;550411,NO - COLLISION
