priority,goals,league,team_ar,player_en,player_ar
A,87,SAU,النصر,C. Ronaldo,كريستيانو رونالدو
A,54,SAU,الأهلي,I. Toney,إيفان توني
A,54,SAU,القادسية,J. Quinones,خوليان كينيونيس
A,49,SAU,الاتحاد,K. Benzema,كريم بنزيما
A,47,IRQ,الشرطة,Mohanad Ali,مهند علي
A,45,SAU,الهلال,A. Mitrović,ألكسندر ميتروفيتش
A,42,IRQ,الشرطة,M. Al Mawas,
A,39,SAU,الفيحاء,F. Sakala,فاشون ساكالا
A,38,IRQ,الموصل,A. Al Dali,
A,38,IRQ,نوروز,Marwan Hussein,مروان حسين
A,37,SAU,الهلال,Salem Al Dawsari,سالم الدوسري
A,36,SAU,النصر,S. Mané,ساديو ماني
A,34,SAU,الاتفاق,G. Wijnaldum,جورجينيو فينالدوم
A,33,IRQ,القوة الجوية,M. Jawad,
A,32,SAU,الهلال,Malcom,مالكوم
A,30,IRQ,زاخو,A. Attwan,
A,30,SAU,الشباب,A. Hamed-Allah,عبد الرزاق حمد الله
A,30,SAU,الهلال,Marcos Leonardo,ماركوس ليوناردو
A,29,IRQ,الموصل,I. Ghazi,
A,28,IRQ,أربيل,S. Temirov,
A,27,IRQ,القوة الجوية,Aymen Hussein,أيمن حسين
A,27,IRQ,دهوك,P. Gwargis,
A,27,SAU,الشباب,Y. Carrasco,يانيك كاراسكو
A,25,IRQ,الزوراء,I. Gbadamosi,
A,23,SAU,التعاون,R. B. Martinez Tobinson,روجر مارتينيز
A,22,IRQ,الطلبة,S. Msuva,سيمون مسوفا
A,22,SAU,النصر,Talisca,أندرسون تاليسكا
A,21,SAU,الأهلي,Feras Al Brikan,فراس البريكان
A,21,SAU,النصر,Joao Felix,جواو فيليكس
A,21,IRQ,نفط ميسان,O. Afolabi,
A,21,SAU,الوحدة,O. Ighalo,أوديون إيغالو
A,20,IRQ,زاخو,Gustavo Henrique,جوستافو هنريكي
A,20,SAU,الخليج,J. King,جوشوا كينج
A,20,IRQ,الميناء,M. Qasem,
A,19,SAU,الاتفاق,M. Dembele,موسى ديمبيلي
A,19,JOR,الحسين,Sisa,
A,18,JOR,الفيصلي,A. Ersan,أحمد العرسان
A,18,IRQ,نفط ميسان,D. Gueye Dieme,
A,18,IRQ,الغراف,K. Kuku,
A,18,SAU,الهلال,R. Neves,روبن نيفيز
A,18,IRQ,القاسم,Saif Rashed Hameed,سيف راشد حميد
A,17,SAU,الخلود,M. Maolida,ميزيان مولايدا
A,17,SAU,القادسية,P. Aubameyang,بيير إيمريك أوباميانغ
A,16,JOR,الحسين,A. Al Haj,عارف الحاج
A,16,JOR,شباب الأردن,M. Abu Taha,
A,16,SAU,القادسية,M. Retegui,ماتيو ريتيجي
A,15,SAU,ضمك,G. Nkoudou,جورج كيفين نكودو
A,15,IRQ,الشرطة,Leonel Ateba,ليونيل أتيبا
A,14,IRQ,الكرخ,I. Eze,
A,14,JOR,الوحدات,M. Semreen,
A,14,IRQ,الكرمة,Mahmoud Khalil,محمود خليل
A,14,IRQ,الكرمة,Y. Oumarou,
A,13,IRQ,الزوراء,H. Abdulkareem,
A,13,IRQ,القاسم,Hareth Hatem,حارث حاتم
A,13,JOR,الحسين,R. Bani Hani,رزق بني هاني
A,12,JOR,الرمثا,H. Al Dardour,حمزة الدردور
A,12,JOR,الحسين,M. Al Mardi,
A,12,IRQ,الكهرباء,R. Ngah,
A,11,JOR,الوحدات,I. Sabra,
A,11,JOR,الحسين,M. Al Attar,
A,11,JOR,الحسين,N. A. Aziz,
A,11,SAU,نيوم,S. Benrahma,سعيد بن رحمة
A,11,IRQ,الكرخ,Y. Hamoud,
A,10,JOR,شباب الأردن,K. Assam,
A,9,JOR,الفيصلي,R. Banihani,
A,8,JOR,الرمثا,K. Al Dardour,
A,8,JOR,السلط,M. Aburiziq,
A,8,JOR,الرمثا,M. Al Saket,
A,8,JOR,الفيصلي,Y. Al Bakhit,
A,7,JOR,البقعة,K. Sayaheen,
A,7,JOR,الفيصلي,M. Abu Amara,
A,7,IRQ,الشرطة,S. Ahmed,
A,7,SAU,القادسية,Turki Al Ammar,تركي العمار
A,7,SAU,الاتحاد,Y. En Nesyri,يوسف النصيري
A,6,JOR,سحاب,A. A. Kabeer,
A,6,JOR,شباب الأردن,A. Sabrah,
A,6,JOR,الوحدات,B. Henry,
A,6,JOR,الوحدات,Cesar,سيزار
A,6,JOR,الفيصلي,L. Erwin,
A,6,JOR,الفيصلي,M. Al Hallaq,
A,6,JOR,السلط,M. Niass,
A,6,JOR,الحسين,Y. Abu Jalbush,يوسف أبو جلبوش
A,4,JOR,الحسين,S. Al Rosan,
A,3,IRQ,الطلبة,S. Rasheed,
A,2,IRQ,النفط,Caique,كايكي
A,2,IRQ,القوة الجوية,M. Saadoon,
A,2,IRQ,الكرمة,R. Bauer,
A,2,SAU,نيوم,R. Messi,
A,2,SAU,الرياض,T. Okou,
A,1,IRQ,أربيل,Miullen,
A,1,IRQ,الغراف,P. Mumba,
A,1,SAU,النصر,Samu Costa,سامو كوستا
A,1,SAU,الفيصلي,T. Bongonda,تيوفان بونغوندا
B,31,SAU,الهلال,S. Milinković-Savić,
B,30,SAU,الفتح,M. Batna,
B,25,SAU,الفتح,S. Bendebka,
B,23,SAU,الرائد,K. El Berkaoui,
B,23,SAU,الأهلي,R. Mahrez,
B,21,SAU,التعاون,M. Barrow,
B,20,SAU,الاتحاد,H. Aouar,
B,20,IRQ,أربيل,S. Kareem,
B,19,SAU,الرياض,B. Mensah,
B,19,SAU,الحزم,Fábio Martins,
B,19,SAU,الخليج,K. Fortounis,
B,18,IRQ,نفط ميسان,A. Saad,
B,18,SAU,القادسية,Abdullah Al Salem,
B,18,IRQ,الزوراء,Hasan Abdulkareem,
B,18,SAU,الاتحاد,S. Bergwijn,
B,17,IRQ,النفط,H. Khalaf,
B,17,SAU,العروبة,Omar Al Somah,
B,16,IRQ,الغراف,A. Amutu,
B,16,SAU,الحزم,A. Sayoud,
B,16,SAU,العروبة,Cristian Tello,
B,16,IRQ,الشرطة,Mohammed Dawood,
B,15,IRQ,القوة الجوية,Alaa Abbas,
B,15,IRQ,ديالى,C. Opare,
B,15,SAU,الفتح,M. Vargas,
B,15,IRQ,الزوراء,Mohammed Qasim,
B,15,IRQ,الحدود,R. Da Costa,
B,15,SAU,الخلود,R. Enrique,
B,14,IRQ,الشرطة,D. Mendy,
B,14,IRQ,القوة الجوية,Issam Al Sabhi,
B,14,SAU,التعاون,João Pedro,
B,14,SAU,الأخدود,K. Narey,
B,14,SAU,الأهلي,Roberto Firmino,
B,14,SAU,الرياض,Toze,
B,13,IRQ,الميناء,Ala'a Abdul Zahra,
B,13,SAU,الفتح,Djaniny,
B,13,SAU,الرياض,F. Selemani,
B,13,SAU,الخليج,G. Masouras,
B,13,SAU,ضمك,G. N'Koudou,
B,13,SAU,ضمك,H. Diallo,
B,13,SAU,الاتفاق,K. Al Ghannam,
B,13,IRQ,الطلبة,Loay Al Ani,
B,13,SAU,القادسية,M. Al Juwayr,
B,13,JOR,الرمثا,M. Al Zoubi,
B,13,SAU,الأخدود,S. Godwin,
B,13,IRQ,دهوك,Y. Ben Souda,
B,12,IRQ,ديالى,B. Okor,
B,12,SAU,الوحدة,C. Goodwin,
B,12,SAU,الشباب,C. Guanca,
B,12,IRQ,أربيل,C. John,
B,12,IRQ,الحدود,D. Antwi,
B,12,JOR,الجزيرة,H. Al Saifi,
B,12,IRQ,الكرخ,Jaafar Kathem,
B,12,SAU,الاتفاق,M. Dembélé,
B,12,IRQ,الزوراء,M. Mohammad,
B,12,SAU,الرياض,M. Sylla,
B,12,IRQ,القوة الجوية,Saad Abdul Ameer,
B,12,SAU,الأخدود,Saleh Al Abbas,
B,12,SAU,الرائد,Saleh Al Amri,
B,12,SAU,الاتحاد,Saleh Al Shehri,
B,12,IRQ,ديالى,W. Ramadhan,
B,12,IRQ,الكهرباء,Y. Zakri,
B,11,SAU,نيوم,A. Lacazette,
B,11,SAU,الوحدة,Abdulaziz Noor,
B,11,SAU,الأهلي,Gabri Veiga,
B,11,IRQ,نفط البصرة,I. Ouro-Agoro,
B,11,SAU,الأهلي,Ibañez,
B,11,IRQ,الشرطة,L. Esquerdinha,
B,11,SAU,الهلال,M. Kanno,
B,11,IRQ,أربيل,M. Qabeel,
B,11,SAU,النصر,Otávio,
B,11,SAU,التعاون,S. Mandash,
B,11,SAU,ضمك,V. Vada,
B,11,SAU,التعاون,W. Al Ahmad,
B,11,IRQ,النفط,W. Kareem,
B,10,IRQ,ديالى,A. Sfaxi,
B,10,SAU,التعاون,Abdulfattah Adam,
B,10,IRQ,الشرطة,Aiman Yahya,
B,10,IRQ,نوروز,Aso Rustom,
B,10,IRQ,الشرطة,B. Shakir,
B,10,SAU,الأخدود,C. Bassogog,
B,10,SAU,أبها,G. Krychowiak,
B,10,IRQ,نفط البصرة,H. Dakhel,
B,10,IRQ,النجف,H. Mastouri,
B,10,SAU,الفيحاء,H. Onyekuru,
B,10,SAU,النصر,K. Coman,
B,10,SAU,الرائد,M. Fouzair,
B,10,IRQ,القوة الجوية,M. Oloumou,
B,10,IRQ,الكهرباء,M. Shafiu,
B,10,IRQ,الكرخ,M. Soro Nanga,
B,9,IRQ,الكهرباء,A. Faisal,
B,9,SAU,الاتحاد,A. Hamed Allah,
B,9,IRQ,الكرمة,A. Hussein,
B,9,IRQ,كربلاء,Abd Al Qader Aziz,
B,9,IRQ,القوة الجوية,Ali Jasim,
B,9,IRQ,نفط ميسان,D. Diémé,
B,9,IRQ,دهوك,Hiran Ahmed,
B,9,IRQ,دهوك,I. Louati,
B,9,SAU,النصر,J. Durán,
B,9,IRQ,بغداد,J. Kareem,
B,9,SAU,الأخدود,K. Musona,
B,9,IRQ,الميناء,Karrar Lateef,
B,9,SAU,الفتح,L. Zelarayán,
B,9,SAU,الاتحاد,M. Diaby,
B,9,IRQ,نوروز,M. Ridha Jalil,
B,9,SAU,الخليج,Mohamed Sherif,
B,9,IRQ,النجف,N. Sioud,
B,9,IRQ,دهوك,Pashang Abdulla,
B,9,SAU,الحزم,Tozé,
B,9,SAU,الاتفاق,Vitinho,
B,9,SAU,الخلود,Álex Collado,
B,8,SAU,الهلال,A. Al Bulayhi,
B,8,IRQ,القاسم,A. Basim,
B,8,IRQ,الكرمة,A. Maknzi,
B,8,IRQ,نوروز,A. Rostam,
B,8,IRQ,النفط,Ahmad Khaled,
B,8,SAU,النصر,Aymeric Laporte,
B,8,IRQ,الزوراء,B. Riascos,
B,8,IRQ,نوروز,Cláudio Maradona,
B,8,SAU,ضمك,F. Chafaï,
B,8,JOR,شباب الأردن,H. Al Naeem,
B,8,SAU,الشباب,Haroune Camara,
B,8,IRQ,نوروز,Husam Malek,
B,8,IRQ,الحدود,Hussain Jabbar,
B,8,IRQ,كربلاء,Hussain Taleb,
B,8,IRQ,دهوك,K. Darwiche,
B,8,IRQ,الميناء,Mohannad Abdulraheem,
B,8,SAU,الاتحاد,N. Kanté,
B,8,SAU,القادسية,N. Nandez,
B,8,SAU,ضمك,N. Stanciu,
B,8,IRQ,نوروز,Neto Acara,
B,8,IRQ,الكهرباء,Nihad Mohammed,
B,8,SAU,الفيحاء,R. López,
B,8,SAU,الاتحاد,S. Al Rubaie,
B,8,IRQ,النفط,S. Yaseen,
B,8,IRQ,الميناء,Y. Samia,
B,7,IRQ,الشرطة,A. Farhan,
B,7,SAU,الرياض,A. Gray,
B,7,JOR,الفيصلي,A. Moutari,
B,7,SAU,التعاون,A. Sabiri,
B,7,SAU,الاتحاد,Abdulrahman Al Obud,
B,7,SAU,التعاون,Andrei Girotto,
B,7,IRQ,الحدود,Atheer Saleh,
B,7,IRQ,الغراف,B. Ghariani,
B,7,IRQ,الكرمة,C. Abogo,
B,7,IRQ,نوروز,Claudio Maradona,
B,7,IRQ,زاخو,D. Echeta,
B,7,SAU,الأهلي,F. Kessie,
B,7,SAU,الأهلي,F. Kessié,
B,7,IRQ,نفط ميسان,H. Talib,
B,7,SAU,الوحدة,J. El Yamiq,
B,7,SAU,الخلود,J. Muleka,
B,7,SAU,الرائد,Júlio Tavares,
B,7,SAU,الاتفاق,K. Toko-Ekambi,
B,7,JOR,الفيصلي,K. Zakaria,
B,7,SAU,الرياض,L. Antunes,
B,7,SAU,النجمة,Lazaro,
B,7,IRQ,الميناء,M. Abdulrahim,
B,7,IRQ,الكرخ,M. Khalid Kofi,
B,7,IRQ,القوة الجوية,M. Ouattara,
B,7,JOR,الوحدات,M. Samreen,
B,7,SAU,الشباب,Mohammed Al Thani,
B,7,IRQ,الحدود,Muhaimen Salim,
B,7,IRQ,زاخو,Nasser Mohammedoh,
B,7,IRQ,النجف,R. Fadel,
B,7,IRQ,كربلاء,Sajjad Raad,
B,7,IRQ,القوة الجوية,W. Jebor,
B,7,JOR,الصريح,Y. Al Rawashdeh,
B,7,IRQ,الكرخ,Y. Ghani,
B,7,IRQ,الكرخ,Y. Hmoud,
B,7,IRQ,النجف,Younes Hmood,
B,6,SAU,الأخدود,A. Burcă,
B,6,SAU,ضمك,A. Ceesay,
B,6,IRQ,القوة الجوية,A. H. Hatam,
B,6,SAU,الشباب,A. Hamdallah,
B,6,JOR,الوحدات,A. M. Hammad A.,
B,6,JOR,البقعة,A. Mbaye,
B,6,IRQ,كربلاء,Abdullah Hassoun,
B,6,SAU,الاتفاق,Abdullah Radif,
B,6,IRQ,نوروز,Ahmad Mahmoud,
B,6,IRQ,النفط,Ahmad Sabri,
B,6,IRQ,القاسم,Ala'a Muhsen,
B,6,IRQ,الكرمة,Ali Husni,
B,6,IRQ,نوروز,Ali Saleh,
B,6,SAU,النصر,Angelo,
B,6,IRQ,الشرطة,B. Moumouni,
B,6,IRQ,الكرخ,B. Okoronkwo,
B,6,IRQ,أربيل,C. Barco,
B,6,SAU,الفيحاء,C. Smalling,
B,6,SAU,الشباب,Carlos Júnior,
B,6,IRQ,زاخو,D. López,
B,6,SAU,الهلال,D. Nunez,
B,6,IRQ,نفط ميسان,F. Abdul,
B,6,SAU,ضمك,F. Kamano,
B,6,IRQ,القوة الجوية,H. Jouini,
B,6,IRQ,زاخو,H. Karim,
B,6,IRQ,الطلبة,H. Oueslati,
B,6,SAU,الخلود,Hammam Al Hammami,
B,6,IRQ,النجف,I. Atiemwen,
B,6,IRQ,النجف,I. Niang,
B,6,IRQ,الزوراء,Ibrahim,
B,6,SAU,الرياض,Ibrahim Bayesh,
B,6,IRQ,كربلاء,K. Benarif,
B,6,JOR,السلط,K. Onyemaechi,
B,6,SAU,نيوم,L. Rodriguez,
B,6,SAU,التعاون,L. Tawamba,
B,6,IRQ,بغداد,M. Abdel Amir,
B,6,JOR,الأهلي,M. Al Razem,
B,6,JOR,الوحدات,M. Allan,
B,6,SAU,النصر,M. Brozović,
B,6,IRQ,أربيل,M. Cabrera,
B,6,IRQ,الكرخ,M. Jamal,
B,6,SAU,التعاون,Mateus,
B,6,IRQ,نوروز,Mohammad Sami,
B,6,SAU,التعاون,Mohammed Al Shwirekh,
B,6,SAU,الرائد,O. Gonzalez,
B,6,IRQ,القوة الجوية,R. Hanoon,
B,6,JOR,الوحدات,Rabia Al Alawi,
B,6,SAU,الوحدة,S. Bguir,
B,6,IRQ,النفط,S. Gbadebo,
B,6,IRQ,القاسم,Saif Aldin Dhaher,
B,6,IRQ,نفط ميسان,Sajjad Jabar,
B,6,IRQ,نفط ميسان,U. Sale,
B,6,SAU,ضمك,W. Hoedt,
B,6,JOR,الوحدات,Y. Abu Al Jazar,
B,5,IRQ,الميناء,A. Abdulzahra,
B,5,JOR,الأهلي,A. Abu Kabir,
B,5,IRQ,الكهرباء,A. Aiad,
B,5,JOR,الحسين,A. Al Attar,
B,5,JOR,الصريح,A. Awad,
B,5,JOR,السلط,A. Deeb,
B,5,SAU,التعاون,A. Fulgini,
B,5,JOR,الوحدات,A. Jamous,
B,5,JOR,الجزيرة,A. Mahmoud,
B,5,SAU,الفتح,A. Sbaï,
B,5,JOR,الأهلي,A. Taima,
B,5,SAU,الشباب,Abdulaziz Al Othman,
B,5,SAU,الفيحاء,Alfa Semedo,
B,5,IRQ,الحدود,Ali Kareem,
B,5,IRQ,نفط ميسان,Ali Lateef,
B,5,IRQ,الزوراء,Ali Muhsen,
B,5,SAU,الوحدة,Anselmo,
B,5,JOR,الوحدات,B. Kalbouneh,
B,5,IRQ,دهوك,B. Sambou,
B,5,SAU,ضمك,Bruno Viana,
B,5,JOR,العقبة,C. Canga,
B,5,IRQ,نفط ميسان,C. M. Kouvouama,
B,5,JOR,السلط,C. Semega,
B,5,SAU,الاتحاد,Danilo Pereira,
B,5,IRQ,القوة الجوية,E. Al-Subhi,
B,5,SAU,الأهلي,F. Al Buraikan,
B,5,JOR,العقبة,F. Al Muzaini,
B,5,SAU,العروبة,F. Al Zubaidi,
B,5,IRQ,نوروز,G. Panom,
B,5,JOR,الفيصلي,H. Al Hourani,
B,5,SAU,الخلود,H. Bahebri,
B,5,IRQ,القاسم,Haidar Majed,
B,5,IRQ,القاسم,Hussein Abdul Wahid,
B,5,SAU,الاتحاد,Igor Coronado,
B,5,IRQ,الكرمة,J. Al Yahmadi,
B,5,SAU,الشباب,J. Brownhill,
B,5,IRQ,الكرمة,J. Okoli,
B,5,SAU,الفيحاء,Jason Remeseiro,
B,5,SAU,الاتفاق,João Costa,
B,5,IRQ,بغداد,K. El Keraa,
B,5,SAU,الهلال,K. Koulibaly,
B,5,JOR,الفيصلي,K. Mohannad,
B,5,SAU,أبها,K. Toko Ekambi,
B,5,IRQ,دهوك,Karim Darwich,
B,5,JOR,الحسين,L. Kacorri,
B,5,IRQ,الشرطة,Lucas,
B,5,SAU,الاتحاد,M. Al Shanqiti,
B,5,SAU,الأهلي,M. Demiral,
B,5,IRQ,الغراف,M. Konaté,
B,5,JOR,الوحدات,M. Mahmoud,
B,5,IRQ,الكرمة,M. Ogaili,
B,5,JOR,الوحدات,M. Shawkat,
B,5,SAU,الشباب,M. Simakan,
B,5,IRQ,الكهرباء,M. Soueid,
B,5,IRQ,نفط البصرة,Mahmoud Ahmad,
B,5,IRQ,زاخو,Mahmoud Al Aswad,
B,5,SAU,الهلال,Michael,
B,5,IRQ,الميناء,Muslim Mousa,
B,5,IRQ,القوة الجوية,Mustafa Waleed Fatla,
B,5,JOR,الجزيرة,O. Al Qara,
B,5,IRQ,زاخو,Orinho,
B,5,IRQ,نوروز,P. Komolafe,
B,5,IRQ,نفط البصرة,Patrick Marcelino,
B,5,SAU,الخليج,Paulo Ricardo,
B,5,IRQ,النفط,R. Donfack,
B,5,SAU,التعاون,R. Martínez,
B,5,SAU,الاتحاد,Romarinho,
B,5,IRQ,الشرطة,S. Abdulkadhim,
B,5,JOR,الوحدات,S. Rateb,
B,5,IRQ,الميناء,Sajjad Alaa,
B,5,IRQ,الكرمة,Sajjad Jasim,
B,5,SAU,الهلال,T. Hernandez,
B,5,SAU,الأهلي,V. Atangana,
B,5,SAU,الحزم,Y. Al Shammari,
B,5,SAU,ضمك,Y. Meite,
B,5,IRQ,القوة الجوية,Zaid Tahseen,
B,5,SAU,الاتفاق,Álvaro Medrán,
B,4,IRQ,الكرمة,A. A. Eiad,
B,4,IRQ,ديالى,A. Abd,
B,4,IRQ,الكرمة,A. Abdelkader,
B,4,JOR,الحسين,A. Ajagun,
B,4,SAU,الخلود,A. Al Aliwa,
B,4,SAU,الحزم,A. Al Dhuwayhi,
B,4,SAU,الأخدود,A. Al Hatila,
B,4,JOR,الحسين,A. Alhaj,
B,4,SAU,ضمك,A. Bedrane,
B,4,SAU,التعاون,A. El Mahdioui,
B,4,IRQ,النفط,A. Khaled,
B,4,JOR,شباب الأردن,A. Meftahi,
B,4,SAU,الفيحاء,A. Nwakaeme,
B,4,IRQ,الكرخ,A. Qasim,
B,4,JOR,الفيصلي,A. S. Hashhash,
B,4,IRQ,النفط,A. Sabry,
B,4,SAU,الأهلي,A. Saint-Maximin,
B,4,IRQ,الميناء,A. Yas,
B,4,IRQ,زاخو,A. Yasin,
B,4,SAU,النصر,Abdulrahman Ghareeb,
B,4,SAU,الشباب,Ahmed Abdu,
B,4,IRQ,نفط ميسان,Ali Hussein,
B,4,IRQ,نفط الوسط,Ali Jassem,
B,4,IRQ,الزوراء,Ali Yousif,
B,4,IRQ,أربيل,Amjad Radhi,
B,4,IRQ,كربلاء,Aws Mohammad,
B,4,JOR,الرمثا,B. Al Diabat,
B,4,IRQ,الكرخ,B. Comey,
B,4,JOR,الوحدات,B. Faisal,
B,4,IRQ,بغداد,B. Kosimov,
B,4,SAU,الشباب,Carlos Junior,
B,4,SAU,الاتفاق,D. Gray,
B,4,IRQ,الكهرباء,D. Tetteh,
B,4,IRQ,زاخو,E. Deputy,
B,4,IRQ,زاخو,F. Abogo,
B,4,SAU,الاتفاق,F. Calvo,
B,4,SAU,الوحدة,F. Fajr,
B,4,IRQ,النجف,F. Ridha,
B,4,JOR,الوحدات,F. Shelbaieh,
B,4,SAU,الاتحاد,Fabinho,
B,4,SAU,النجمة,Felippe Cardoso,
B,4,SAU,الأهلي,Galeno,
B,4,IRQ,الزوراء,H. Ahmed,
B,4,JOR,البقعة,H. Al Zahrawi,
B,4,JOR,الحسين,H. Al-Dardour,
B,4,JOR,السلط,H. Zeyad,
B,4,IRQ,الميناء,Hameed Ali,
B,4,IRQ,الطلبة,Husain Abdullah,
B,4,IRQ,الشرطة,Hussein Ali,
B,4,IRQ,ديالى,I. Tandia,
B,4,IRQ,الموصل,J. Medranda,
B,4,IRQ,دهوك,Jabar Kareem,
B,4,SAU,الاتحاد,Jota,
B,4,IRQ,النجف,K. Agbozo,
B,4,JOR,الرمثا,K. Nyanteh,
B,4,IRQ,الزوراء,Kadhim Raad,
B,4,SAU,القادسية,M. Abu Al Shamat,
B,4,SAU,التعاون,M. Al Kuwaykibi,
B,4,IRQ,الطلبة,M. Artien,
B,4,SAU,الحزم,M. Badamosi,
B,4,IRQ,أربيل,M. Chobanov,
B,4,IRQ,نوروز,M. D. Ismael,
B,4,JOR,شباب الأردن,M. K. Deeb,
B,4,JOR,الفيصلي,M. Kloub,
B,4,IRQ,الكهرباء,M. Nihad,
B,4,IRQ,الميناء,M. Qosim Nassif,
B,4,SAU,ضمك,M. Saadane,
B,4,IRQ,الكرخ,M. Saleh,
B,4,JOR,شباب الأردن,M. Taha,
B,4,IRQ,أربيل,M. Zaddem,
B,4,SAU,ضمك,Meshari Al Nemer,
B,4,IRQ,الكرمة,Mohammad Adnan,
B,4,IRQ,ديالى,Mohammed Al Jumaili,
B,4,SAU,الاتفاق,Mohammed Al Kuwaykibi,
B,4,SAU,التعاون,Mohammed Al Qahtani,
B,4,IRQ,الميناء,Mohammed Jabbar Shwkan,
B,4,IRQ,الكهرباء,Montathar Adel,
B,4,IRQ,نوروز,Mortada Hodib,
B,4,SAU,الحزم,N. Al Habashi,
B,4,JOR,الفيصلي,O. Hani,
B,4,SAU,الخليج,P. Fernandes,
B,4,IRQ,بغداد,Pneu Flavio,
B,4,SAU,الفيحاء,Pozuelo,
B,4,JOR,مغير السرحان,Q. Tannous,
B,4,JOR,شباب الأردن,R. Abu Khizaran,
B,4,SAU,النجمة,R. Al Tulayhi,
B,4,IRQ,الكهرباء,R. Aminu,
B,4,IRQ,الموصل,R. Foning,
B,4,SAU,الشباب,R. Saïss,
B,4,IRQ,القوة الجوية,S. Abdulameer,
B,4,JOR,شباب الأردن,S. Farrash,
B,4,SAU,الفيحاء,S. Ganvoula,
B,4,IRQ,دهوك,S. Hadi,
B,4,JOR,مغير السرحان,S. Khankan,
B,4,IRQ,الموصل,S. Mohsen,
B,4,JOR,الحسين,S. Obaid,
B,4,IRQ,النجف,S. Raad,
B,4,SAU,الفتح,Saad Al Sharfa,
B,4,SAU,النصر,Salem Al Najdi,
B,4,IRQ,أربيل,Sefan Mansour,
B,4,IRQ,الطلبة,Shareef Abdul Kadhim,
B,4,SAU,الأهلي,Sumayhan Al Nabit,
B,4,IRQ,بغداد,T. Salhi,
B,4,SAU,نيوم,W. Troost-Ekong,
B,4,JOR,الجزيرة,Y. Bakheet,
B,4,SAU,الفيحاء,Y. Benzia,
B,4,SAU,الوحدة,Youssef Amyn,
B,4,JOR,الجزيرة,Z. Abu Abed,
B,4,IRQ,الطلبة,Z. Ismaeel,
B,4,IRQ,أربيل,Zaidan Abd Al Jabar,
B,4,SAU,الأهلي,Ziyad Al Johani,
B,3,JOR,الأهلي,A. A. Alkass,
B,3,JOR,الأهلي,A. Abu Kabeer,
B,3,SAU,النصر,A. Al Amri,
B,3,JOR,الرمثا,A. Al Azaizeh,
B,3,JOR,سحاب,A. Al Essawi,
B,3,SAU,الاتحاد,A. Al Ghamdi,
B,3,SAU,نيوم,A. Al Haji,
B,3,SAU,النصر,A. Al Hamdan,
B,3,JOR,مغير السرحان,A. Al Harahshe,
B,3,JOR,الفيصلي,A. Al Shanaineh,
B,3,JOR,الفيصلي,A. Al-Arsa,
B,3,IRQ,دهوك,A. Alsanati,
B,3,JOR,الرمثا,A. Azizah,
B,3,IRQ,الميناء,A. Azzawi,
B,3,SAU,الحزم,A. Bah,
B,3,IRQ,الزوراء,A. Chtioui,
B,3,SAU,الطائي,A. Cordea,
B,3,SAU,الخلود,A. Dieng,
B,3,IRQ,الغراف,A. Hadhri,
B,3,IRQ,الطلبة,A. Hashem,
B,3,SAU,النجمة,A. Jasim,
B,3,SAU,نيوم,A. Kone,
B,3,IRQ,النجف,A. Louay,
B,3,IRQ,نفط ميسان,A. Mohammed,
B,3,IRQ,الشرطة,A. Mouddane,
B,3,IRQ,الطلبة,A. Muntadher,
B,3,IRQ,الموصل,A. Raheem,
B,3,IRQ,الطلبة,A. Y. Hashim,
B,3,SAU,الأهلي,Abdulbasit Hindi,
B,3,SAU,الهلال,Abdullah Al Hamddan,
B,3,IRQ,الشرطة,Abdulrazzaq Qasim,
B,3,IRQ,الكرمة,Ahmad Yaseen,
B,3,IRQ,الشرطة,Ahmed Yahia,
B,3,SAU,الشباب,Ali Al Hassan,
B,3,IRQ,نوروز,Ali Khalil,
B,3,IRQ,الزوراء,Ali Sadeq,
B,3,SAU,النجمة,B. Boutobba,
B,3,JOR,الرمثا,B. Thiabat,
B,3,SAU,الرياض,B. Touré,
B,3,IRQ,أربيل,C. Anderson,
B,3,SAU,القادسية,C. Bonsu Baah,
B,3,IRQ,الموصل,C. Ngah,
B,3,IRQ,الكهرباء,C. Pyagbara,
B,3,SAU,القادسية,Cameron Puertas,
B,3,JOR,الوحدات,D. Afaneh,
B,3,SAU,ضمك,D. Antolić,
B,3,SAU,الخليج,D. Kourbelis,
B,3,SAU,الأهلي,Dhari Al Anazi,
B,3,IRQ,زاخو,Dione,
B,3,IRQ,بغداد,E. Anang,
B,3,SAU,الأهلي,E. Millot,
B,3,IRQ,القاسم,E. Sou,
B,3,IRQ,أربيل,Evan Khaled,
B,3,SAU,أبها,F. Noguera,
B,3,JOR,الحسين,Fernandinho,
B,3,IRQ,أربيل,G. Luqman,
B,3,IRQ,الطلبة,G. Maaroufi,
B,3,JOR,الأهلي,H. A. Saada,
B,3,JOR,السلط,H. Abu Sadah,
B,3,IRQ,الشرطة,H. Ali,
B,3,JOR,الحسين,H. Dardour,
B,3,JOR,معان,H. Obeidat,
B,3,SAU,أبها,Hassan Al Ali,
B,3,IRQ,القوة الجوية,I. Abdullah,
B,3,JOR,السلط,I. Al Jawabri,
B,3,IRQ,ديالى,I. Harouna,
B,3,SAU,الأخدود,I. Koné,
B,3,SAU,النصر,I. Martinez,
B,3,SAU,الوحدة,J. Bacuna,
B,3,SAU,الخلود,J. Buckley,
B,3,SAU,الفتح,J. Fernandes,
B,3,SAU,العروبة,J. Guðmunds­son,
