rank,player_en,team_ar,appearances,user_translation,player_id_count,player_ids,safe_to_write
334,B. Diarra,الوحدة الإماراتي,81,بادارا ديارا,1,293313,yes
335,Adel Subeel,خورفكان,81,عادل سبيل,1,50699,yes
336,P. Mboungou,عجمان,81,بريستيج مبونغو,1,102687,yes
337,Amr El Saadawy,المصري,80,عمرو السعداوي,1,17027,yes
338,Hossam Greisha,المصري,80,حسام جريشة,1,17314,yes
339,M. Diawara,طلائع الجيش,80,موسى دياوارا,1,17116,yes
340,Farid Shawki,طلائع الجيش,80,فريد شوقي,1,16896,yes
341,Mostafa El Gamal,منتخب السويس بتروجت,80,مصطفى الجمل,1,17102,yes
342,A. Kassak,أولمبيك آسفي,80,أسامة كاساك,1,294321,yes
343,Y. Bammou,اتحاد تواركة,80,ياسين بامو,1,21647,yes
344,A. Baadi,الرجاء,80,عبد الكريم باعدي,1,2705,yes
345,Y. Belammari,الرجاء,80,يوسف بلعمري,1,146772,yes
346,M. Morabit,نهضة بركان,80,محمد المرابط,1,152476,yes
347,Rafa Mújica,السد,80,رافا موجيكا,1,135333,yes
348,M. Omar,الشمال,80,محمد عمر,1,383168,yes
349,Mohammed Al Bakri,الوكرة,80,محمد البكري,1,2524,yes
350,Salim Rashid Obaid,اتحاد كلباء,80,سالم راشد عبيد,1,295968,yes
