league,team_ar,seasons,appearances,player_en,full_name_en,player_ar
EGY,الاتحاد السكندري,2026-2027,3,A. El Gabry,Ali El Gabry,
EGY,الاتحاد السكندري,2023-2024 .. 2025-2026,3,Ahmed Ghoneim,,
EGY,الاتحاد السكندري,2023-2024,3,F. Kingue,,
EGY,الاتحاد السكندري,2022-2023 .. 2024-2025,3,Mohamed Fares,,
EGY,الاتحاد السكندري,2025-2026,3,N. Naser,,
EGY,الاتحاد السكندري,2025-2026,2,I. Samir,,
EGY,الاتحاد السكندري,2023-2024,2,A. Hassane,,
EGY,الاتحاد السكندري,2024-2025,2,Aubin Kouamé,,
EGY,الاتحاد السكندري,2022-2023,2,Austin Amutu,,
EGY,الاتحاد السكندري,2023-2024,2,Edimo Kingue,,
EGY,الاتحاد السكندري,2024-2025,2,Emmanuel Apeh,,
EGY,الاتحاد السكندري,2023-2024,2,Hany El Tamy,,
EGY,الاتحاد السكندري,2025-2026,2,M. Agib,,
EGY,الاتحاد السكندري,2024-2025 .. 2025-2026,2,M. Shabana,,
EGY,الاتحاد السكندري,2022-2023,2,Mahmoud Abdel-Aziz,,
EGY,الاتحاد السكندري,2024-2025,2,Momen Sherif,,
EGY,الاتحاد السكندري,2022-2023,1,Abdallah Naseeb,,
EGY,الاتحاد السكندري,2022-2023,1,Mabululo,,
EGY,الاتحاد السكندري,2026-2027,1,A. El Sayed,,
EGY,الاتحاد السكندري,2024-2025,1,A. Kramo,,
EGY,الاتحاد السكندري,2022-2023,1,Abdallah Nasib,,
EGY,الاتحاد السكندري,2024-2025,1,Adham Alaa,,
EGY,الاتحاد السكندري,2023-2024,1,Adham alaa,,
EGY,الاتحاد السكندري,2024-2025,1,El Mahdy Soliman,,
EGY,الاتحاد السكندري,2022-2023,1,G. Kizito,,
EGY,الاتحاد السكندري,2026-2027,1,Kenneth Semakula,,
EGY,الاتحاد السكندري,2023-2024,1,Mahmoud Setouhi,,
EGY,الاتحاد السكندري,2023-2024,1,Mazen Ashraf,,
EGY,الاتحاد السكندري,2022-2023,1,Mohamed Fares Abdel Fattah,,
EGY,الاتحاد السكندري,2022-2023,1,Omar Fathy,,
EGY,الاتحاد السكندري,2023-2024,1,Zaghloul Mohamed,,
EGY,البنك الأهلي,2022-2023 .. 2026-2027,77,Mohamed Helal,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,74,Osama Faisal,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,70,Karim Bambo,,
EGY,البنك الأهلي,2022-2023 .. 2026-2027,69,Y. Annor,,
EGY,البنك الأهلي,2022-2023 .. 2026-2027,50,Mohamed Fathi,,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,43,Ahmed Madbouly,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,38,M. Ashraf,,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,37,Ahmed El Nadry,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,30,A. Rayan,Ahmed Yasser Rayan,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,30,Mohamed Bassiouny,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,29,S. Aka,,
EGY,البنك الأهلي,2022-2023 .. 2026-2027,26,Ahmed Yasser,,
EGY,البنك الأهلي,2022-2023 .. 2023-2024,21,Mahmoud Sayed,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,21,Mahmoud El-Gazzar,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,20,Yaw Annor,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,19,A. Madbouli,,
EGY,البنك الأهلي,2022-2023 .. 2026-2027,19,Ahmed Madbouli,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,18,M. Shalaby,Karim Tarek,
EGY,البنك الأهلي,2022-2023 .. 2023-2024,18,Mahmoud Kaoud,,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,17,S. Simporé,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,15,I. Yakubu,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,14,Amir Medhat,,
EGY,البنك الأهلي,2022-2023 .. 2023-2024,14,Assem Salah,,
EGY,البنك الأهلي,2025-2026,14,O. Faisal,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,14,Hisham Salah,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,13,Serge Aka,,
EGY,البنك الأهلي,2023-2024,12,Ayman Ashraf,,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,11,Ahmed Yassin,,
EGY,البنك الأهلي,2022-2023,10,R. Cissé,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,10,S. Bouchama,Salah Abd Etouab Bouchama,
EGY,البنك الأهلي,2022-2023,10,Osama Ibrahim,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,9,A. Meteb,Ahmed Meteb,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,9,Oufa,Ahmed Amin Oufa,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,9,S. Abdallah,Sayed Abdallah,
EGY,البنك الأهلي,2022-2023 .. 2023-2024,9,Saidou Simpore,,
EGY,البنك الأهلي,2023-2024 .. 2025-2026,9,Saidou Simporé,,
EGY,البنك الأهلي,2025-2026,8,A. El Nadry,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,8,Mohamed Abou Gabal,,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,7,Mahmoud El Gazzar,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,7,M. Dowidar,Mostafa Dowidar,
EGY,البنك الأهلي,2022-2023 .. 2024-2025,7,Ahmed Said,,
EGY,البنك الأهلي,2023-2024 .. 2025-2026,7,Issahaku Yakubu,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,6,Shefo,Khaled Shefo,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,6,Abdel Aziz El Balouti,,
EGY,البنك الأهلي,2025-2026,6,S. Simpore,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,5,Hisham Saleh,,
EGY,البنك الأهلي,2022-2023 .. 2025-2026,5,Sayed Abdallah,,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,4,A. Medhat,Amir Medhat,
EGY,البنك الأهلي,2024-2025 .. 2026-2027,4,Ahmed Sobhi,,
EGY,البنك الأهلي,2024-2025,4,Daw Serial,,
EGY,البنك الأهلي,2026-2027,3,A. El Balouti,,
