league_code,league_ar,team_id,name_en,name_en_official,name_ar,short_name_ar,city,logo,logo_local,logo_note
EGY,الدوري المصري,15570,National Bank of Egypt,,نادي البنك الأهلي المصري,البنك الأهلي,Cairo,https://media.api-sports.io/football/teams/15570.png,,
EGY,الدوري المصري,7520,Masr,ZED FC,نادي زد,زد,Cairo,https://media.api-sports.io/football/teams/7520.png,,
EGY,الدوري المصري,14651,Ceramica Cleopatra,,نادي سيراميكا كليوباترا,سيراميكا كليوباترا,Cairo,https://media.api-sports.io/football/teams/14651.png,,
EGY,الدوري المصري,1572,Al Ittihad,,نادي الاتحاد السكندري,الاتحاد السكندري,Alexandria,https://media.api-sports.io/football/teams/1572.png,,
EGY,الدوري المصري,1044,Smouha SC,,نادي سموحة الرياضي,سموحة,Alexandria,https://media.api-sports.io/football/teams/1044.png,,
EGY,الدوري المصري,15731,Abu Qair Semad,,نادي أبو قير للأسمدة,أبو قير للأسمدة,Alexandria,https://media.api-sports.io/football/teams/15731.png,,
EGY,الدوري المصري,13822,Olympic El Qanah,,نادي القناة,القناة,Ismailia,https://media.api-sports.io/football/teams/13822.png,,
EGY,الدوري المصري,1031,AL Masry,,النادي المصري,المصري,Port Said,https://media.api-sports.io/football/teams/1031.png,,
EGY,الدوري المصري,1574,El Gouna FC,,نادي الجونة,الجونة,El Gouna,https://media.api-sports.io/football/teams/1574.png,,
EGY,الدوري المصري,1041,Petrojet,Suez Petrojet,نادي منتخب السويس بتروجت,منتخب السويس بتروجت,Suez,https://media.api-sports.io/football/teams/1041.png,,
EGY,الدوري المصري,18021,Asyut Petrol,,نادي بترول أسيوط,بترول أسيوط,Assiut,https://media.api-sports.io/football/teams/18021.png,,
EGY,الدوري المصري,1037,Enppi,Sharkia Enppi,نادي الشرقية إنبي,الشرقية إنبي,Sharqia,https://media.api-sports.io/football/teams/1037.png,,
EGY,الدوري المصري,13819,Ghazl El Mehalla,,نادي غزل المحلة,غزل المحلة,El Mahalla El Kubra,https://media.api-sports.io/football/teams/13819.png,,
